Code,name,symptoms_0,symptoms_1,symptoms_2,symptoms_3,symptoms_4,symptoms_5,symptoms_6,symptoms_7,symptoms_8,symptoms_9,symptoms_10,symptoms_11,symptoms_12,symptoms_13,symptoms_14,symptoms_15,symptoms_16,symptoms_17,symptoms_18,symptoms_19,symptoms_20,symptoms_21,symptoms_22,symptoms_23,Description,commonTestsAndProcedures,commonMedications,age,gender,race/ethnicity
238,Injury to the shoulder,Shoulder pain,94,Arm pain,50,Neck pain,39,Back pain,28,Elbow pain,9,Shoulder stiffness or tightness,8,Lower body pain,8,Arm stiffness or tightness,6,Shoulder swelling,4,Bones are painful,4,Arm weakness,2,Muscle cram,," Also known as Shoulder injury , , ,Your shoulder joint is composed of three bones: the clavicle (collarbone), the scapula (shoulder blade), and the humerus (upper arm bone). Your shoulders are the most movable joints in your body. They can also be unstable because the ball of the upper arm is larger than the shoulder socket that holds it. To remain in a stable or normal position, the shoulder must be anchored by muscles, tendons and ligaments. Because the shoulder can be unstable, it is the site of many common problems. They include sprains, strains, dislocations, separations, tendinitis, bursitis, torn rotator cuffs, frozen shoulder, fractures and arthritis. Usually shoulder problems are treated with RICE. This stands for Rest, Ice, Compression and Elevation. Other treatments include exercise, medicines to reduce pain and swelling, and surgery if other treatments don't work. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases , Source: MedlinePlus,Patients with injury to the shoulder often receive ",",Radiographic imaging procedure,Plain x ray X ray,Physical therapy exercises Exercises,Magnetic resonance imaging Mri,Application of splint Splinting,Other therapeutic procedures,Other non OR therapeutic procedures on musculoskeletal system,Occupational therapy assessment Speech therapy",",Ketoprofen,Diclofenac Topical Product,Alfentanil,Daunorubicin,Tolazamide,Cisatracurium Nimbex,Ginger Extract",45-59,Unspecified,other
239,Poisoning due to antidepressants,Depression,52,Disturbance of memory,34,Drug abuse,34,Headache,34,Sleepiness,21,Abusing alcohol,21,Allergic reaction,21,Weakness,21,Fainting,21,Muscle pain,21,Emotional symptoms,1,Back weakness,"1"""," , ,Poisoning due to antidepressants is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with poisoning due to antidepressants often receive , ",",Hematologic tests Blood test,Electrocardiogram,Complete blood count Cbc,Kidney function tests Kidney function test,Intravenous fluid replacement,Urinalysis,Toxicology screen,Electrolytes panel",",Charcoal,Sodium Bicarbonate,Naloxone Suboxone,Sodium Salicylate,Sorbitol,Flumazenil,Norepinephrine,Vecuronium,Nicotine,Clotrimazole Topical,Mecamylamine,Grepafloxacin Raxar","1-4,15-29",Unspecified,other
240,Infection of open wound,Abnormal appearing skin,46,Leg pain,29,Fever,29,Hand or finger swelling,22,Skin lesion,22,Skin on arm or hand looks infected,22,Leg swelling,22,Chills,22,Fluid retention,12,Insomnia,12,Decreased appetite,12,Skin swelling,"12"""," Also known as Wound Infection , , ,Infection is the invasion of a host organism's bodily tissues by disease-causing organisms, their multiplication, and the reaction of host tissues to these organisms and the toxins they produce. Infections are caused by microorganisms such as viruses, prions, bacteria, and viroids, and larger organisms like macroparasites and fungi. , Source: Wikipedia,Patients with infection of open wound often receive ",",Wound care management,Hematologic tests Blood test,Complete physical skin exam performed ML,Glucose measurement Glucose level,Blood culture,Culture wound,Traction splints and other wound care,Excision Removal",",Cephalexin,Clindamycin,Vancomycin,Cefazolin,Bacitracin Septa,Clarithromycin,Silver Sulfadiazine Topical,Trandolapril,Exenatide Byetta,Etodolac,Miglitol Glyset,Desogestrel",30-44,Unspecified,other
241,Deep vein thrombosis (DVT),Leg pain,66,Leg swelling,57,Abnormal appearing skin,15,Peripheral edema,15,Arm swelling,10,Paresthesia,10,Foot or toe swelling,8,Ankle swelling,4,Leg stiffness or tightness,4,Leg cramps or spasms,3,Leg lump or mass,3,Disturbance of smell or taste,"3"""," Also known as DVT and Deep Thrombophlebitis , , ,Deep vein thrombosis, or deep venous thrombosis, (DVT) is the formation of a blood clot (thrombus) in a deep vein, predominantly in the legs. Non-specific signs may include pain, swelling, redness, warmness, and engorged superficial veins. Pulmonary embolism, a potentially life-threatening complication, is caused by the detachment (embolization) of a clot that travels to the lungs. Together, DVT and pulmonary embolism constitute a single disease process known as venous thromboembolism. Post-thrombotic syndrome, another complication, significantly contributes to the health-care cost of DVT. , Source: Wikipedia,Patients with deep vein thrombosis (dvt) often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Radiographic imaging procedure,Glucose measurement Glucose level,Electrolytes panel,Kidney function tests Kidney function test,Intravenous fluid replacement,Prothrombin time assay Prothrombin time",",Warfarin,Enoxaparin Lovenox,Heparin,Dalteparin Fragmin,Fondaparinux Arixtra,Goserelin Zoladex,Salsalate,Pyridostigmine Mestinon,Ichthammol Topical,Eltrombopag Promacta,Nystatin Triamcinolone Topical,Ixabepilone Ixempra,Ibutilide","75+,60-74",Unspecified,other
242,Protein deficiency,Weakness,52,Nausea,42,Vomiting,34,Decreased appetite,34,Ache all over,34,Fatigue,26,Depression,26,Dizziness,26,Shortness of breath,26,Sharp abdominal pain,26,Constipation,15,Smoking problems,"15"""," , ,Proteins are essential nutrients for the human body. They are one of the building blocks of body tissue, and can also serve as a fuel source. As fuel, proteins contain 4 kcal per gram, just like carbohydrates and unlike lipids, which contain 9 kcal per gram. , Source: Wikipedia,Patients with protein deficiency often receive ",",Hematologic tests Blood test,Urinalysis,Complete blood count Cbc,Glucose measurement Glucose level,Intravenous fluid replacement,Electrolytes panel,Psychotherapy,Kidney function tests Kidney function test",",Polyethylene Glycol 3350 Miralax,Ursodiol Urso,Paclitaxel Taxol,Thiamine,Potassium Chloride,Tiotropium Spiriva,Mupirocin Topical,Amifostine,Fondaparinux Arixtra,Docetaxel,Papain Urea Topical,Cetuximab Erbitux,Sirolimus",60-74,Unspecified,other
243,Myoclonus,Abnormal involuntary movements,85,Seizures,68,Eye moves abnormally,19,Problems with movement,19,Fainting,19,Drainage in throat,19,Sleepiness,19,Arm cramps or spasms,19,Disturbance of memory,19,Insomnia,19,Loss of sensation,19,Muscle swelling,"1"""," Also known as Myoclonic Disorder , , ,Myoclonus /ma???kl?n?s/ is a brief, involuntary twitching of a muscle or a group of muscles. It describes a medical sign and, generally, is not a diagnosis of a disease. Brief twitches are perfectly normal. The myoclonic twitches are usually caused by sudden muscle contractions; they also can result from brief lapses of contraction. Contractions are called positive myoclonus; relaxations are called negative myoclonus. The most common time for people to encounter them is while falling asleep (hypnic jerk), but myoclonic jerks are also a sign of a number of neurological disorders. Hiccups are also a kind of myoclonic jerk specifically affecting the diaphragm. When a spasm is caused by another person it is known as a ""provoked spasm"". Shuddering attacks with babies also fall in this category. , Source: Wikipedia,Patients with myoclonus often receive ",",X ray computed tomography Scan ct,Magnetic resonance imaging Mri,Kidney function tests Kidney function test,Complete physical skin exam performed ML,Electroencephalogram EEG Eeg,Other diagnostic procedures interview evaluation consultation,CAT scan of head Head ct,Toxicology screen",",Clonazepam,Gabapentin,Corticotropin Acthar,Buspirone Buspar,Levetiracetam Keppra,Lamotrigine Lamictal,Hydrocodone,Ethosuximide,Immunoglobulins,rd,Oxazepam,Clozapine,Triamterene,Robitussin Dm","60-74,",Unspecified,other
244,Bone spur of the calcaneous,Foot or toe pain,94,Ankle pain,50,Foot or toe swelling,32,Leg pain,24,Paresthesia,14,Problems with movement,14,Joint pain,14,Weight gain,14,Muscle pain,14,Elbow pain,14,Heartburn,14,Ankle swelling,"14"""," Also known as Foot Bone Spur , , ,Bone spur of the calcaneous is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with bone spur of the calcaneous often receive , ",",Radiographic imaging procedure,Plain x ray X ray,Examination of foot,Physical therapy exercises Exercises,Bone density scan,Excision Removal,Prophylactic vaccinations and inoculations,Traction splints and other wound care",",Piroxicam,Etodolac,Diclofenac,Moexipril,Ketoprofen,Chondroitin Glucosamine,Betamethasone Topical Product,Fluticasone Topical Product",45-59,Unspecified,hispanic
245,Von Willebrand disease,Nosebleed,58,Itchy scalp,20,Fatigue,20,Long menstrual periods,20,Wrist pain,20,Blood in stool,20,Arm pain,20,Heavy menstrual flow,20,Burning abdominal pain,20,Muscle swelling,1,Low back weakness,1,Abnormal size or shape of ear,"1"""," Also known as Von Willebrand Disorder, Pseudohemophilia, and Angiohemophilia , , ,Von Willebrand disease (vWD) is the most common hereditary coagulation abnormality described in humans, although it can also be acquired as a result of other medical conditions. It arises from a qualitative or quantitative deficiency of von Willebrand factor (vWF), a multimeric protein that is required for platelet adhesion. It is known to affect humans and dogs (notably Doberman Pinschers), and rarely swine, cattle, horses, and cats. There are three forms of vWD: inherited, acquired and pseudo or platelet type. There are three types of hereditary vWD: vWD Type I, vWD Type II and vWD III. Within the three inherited types of vWD there are various subtypes. Platelet type vWD is also an inherited condition. , Source: Wikipedia,Patients with von willebrand disease often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Hemoglobin A1c measurement Hemoglobin a1c test,Other diagnostic procedures interview evaluation consultation,Lipid panel,Other therapeutic procedures,Physical therapy exercises manipulation and other procedures,Colonoscopy and biopsy",",Desmopressin,Antihemophilic Factor Obsolete,Felbamate,6 Aminocaproic Acid Amicar,Lisdexamfetamine Vyvanse,Hyoscyamine A Spas,Mecamylamine,Grepafloxacin Raxar,Malathion Topical","5-14,1-4,15-29",Unspecified,other
246,Open wound of the back,Skin lesion,23,Lower body pain,18,Weight gain,13,Throat feels tight,7,Irregular heartbeat,7,Lymphedema,7,Skin growth,"7""",,,,,,,,,,," , ,Open wound of the back is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with open wound of the back often receive , ",",Wound care management,Complete physical skin exam performed ML,Plain x ray X ray,Suturing of wound,X ray computed tomography Scan ct,Excision Removal,Referral to home health care service,Blood alcohol",",Tetanus Toxoid Vaccine Adacel,Cefazolin,Silver Nitrate Topical Each,Silver Sulfadiazine Topical,Povidone Iodine Topical Betadine,Ascorbic Acid,Somatropin,Diphtheria Toxoid Vaccine Prohibit,Cellulose,Zinc Sulfate,Tobramycin Tobi",Unspecified,Unspecified,black
247,Heart block,Sharp chest pain,48,Shortness of breath,46,Dizziness,39,Fainting,33,Weakness,29,Palpitations,24,Chest tightness,18,Peripheral edema,15,Decreased heart rate,12,Weight gain,12,Increased heart rate,12,Irregular heartbeat,"8"""," , ,A heart block is a disease in the electrical system of the heart. This is opposed to coronary artery disease, which is disease of the blood vessels of the heart. While coronary artery disease can cause angina (chest pain) or myocardial infarction (heart attack), heart block can cause lightheadedness, syncope (fainting), and palpitations. , Source: Wikipedia,Patients with heart block often receive ",",Electrocardiogram,Radiographic imaging procedure,Complete blood count Cbc,Plain x ray X ray,Glucose measurement Glucose level,Cardiac enzymes measurement Cardiac enzymes test,Intravenous fluid replacement,Electrolytes panel",",Glucosamine,Ascorbic Acid,Glimepiride,Amiodarone,Atropine Uaa,Felodipine,Dutasteride Avodart,Metolazone,Sotalol,Triamterene,Bumetanide,Chondroitin,Flecainide","75+,60-74",Unspecified,other
248,Colonic polyp,Rectal bleeding,42,Blood in stool,35,Constipation,31,Sharp abdominal pain,31,Diarrhea,28,Upper abdominal pain,17,Heartburn,13,Pain of the anus,11,Regurgitation,11,Flatulence,6,Changes in stool appearance,6,Discharge in stools,"6"""," Also known as Colon Polyp and Polyp Of Colon , , ,A colorectal polyp is a polyp (fleshy growth) occurring on the lining of the colon or rectum. Untreated colorectal polyps can develop into colorectal cancer. , Source: Wikipedia,Patients with colonic polyp often receive ",",Sigmoidoscopy or colonoscopy,Biopsy,Colonoscopy and biopsy,Excision Removal,Rectal examination,Other non OR lower GI therapeutic procedures,Hemoglobin A1c measurement Hemoglobin a1c test,Upper gastrointestinal endoscopy biopsy",",Midazolam Versed,Fentanyl,Meperidine Demerol,Propofol,Loperamide Imodium,Cholecalciferol,Clemastine Tavist,Hydrocortisone Pramoxine Topical,Lubiprostone Amitiza,Garlic Preparation Kwai,Yohimbine,Doxylamine Unisom","60-74,45-59",Unspecified,other
249,Hypospadias,Retention of urine,29,Recent weight loss,17,Unusual color or odor to urine,17,Symptoms of the scrotum and testes,17,Skin growth,17,Suprapubic pain,17,Penis pain,17,Jaundice,"17""",,,,,,,,," , ,Hypospadias /ha?po??spe?d??s/ is a birth defect of the urethra in the male that involves an abnormally placed urinary meatus (the opening, or male external urethral orifice). Instead of opening at the tip of the glans of the penis, a hypospadic urethra opens anywhere along a line (the urethral groove) running from the tip along the underside (ventral aspect) of the shaft to the junction of the penis and scrotum or perineum. A distal hypospadias may be suspected even in an uncircumcised boy from an abnormally formed foreskin and downward tilt of the glans. , Source: Wikipedia,Patients with hypospadias often receive ",",Complete physical skin exam performed ML,Procedures on the urethra,Other diagnostic procedures interview evaluation consultation,Other therapeutic procedures,Indwelling catheter,Enteral and parenteral nutrition,Nonoperative urinary system measurements,Other OR therapeutic nervous system procedures",",Oxybutynin,Pneumococcal 7 Valent Conjugate Vaccine Prevnar,Sucralfate Carafate,Rotavirus Vaccines Rotavirus Vaccine,Hepatitis B Vaccine Obsolete,Haemophilus B Conjugate Vaccine Obsolete,Diazoxide,Testosterone,Betamethasone Topical Product,Mecamylamine,Grepafloxacin Raxar","1-4,< 1",male,other
250,Magnesium deficiency,Dizziness,49,Sharp abdominal pain,49,Leg pain,43,Sharp chest pain,36,Palpitations,36,Vomiting,36,Weakness,36,Seizures,36,Shortness of breath,27,Nausea,27,Diarrhea,27,Leg cramps or spasms,"27"""," , ,Magnesium (Mg) deficiency is a detrimental plant disorder that occurs most often in strongly acidic, light, sandy soils, where magnesium can be easily leached away. Magnesium is an essential macronutrient found from 0.2-0.4% dry matter and is necessary for normal plant growth. , Source: Wikipedia,Patients with magnesium deficiency often receive ",",Hematologic tests Blood test,Complete blood count Cbc,Glucose measurement Glucose level,Electrolytes panel,Radiographic imaging procedure,Kidney function tests Kidney function test,Intravenous fluid replacement,Electrocardiogram",",Magnesium Sulfate,Prochlorperazine Compro,Magnesium Gluconate Almora,Magnesium Oxide,Acitretin Soriatane,Topotecan,Pirbuterol Maxair,Dexlansoprazole Dexilant,Fosphenytoin,Glycerin Fleet,Adenosine,Dolasetron Anzemet","75+,60-74",Unspecified,other
251,Female infertility of unknown cause,Infertility,92,Unpredictable menstruation,15,Long menstrual periods,6,Scanty menstrual flow,3,Unwanted hair,2,Absence of menstruation,2,Bleeding or discharge from nipple,2,Loss of sex drive,2,Pain during intercourse,2,Irregular belly button,"2""",,,,," , ,Infertility is a term doctors use if a woman hasnt been able to get pregnant after at least one year of trying. If a woman keeps having miscarriages, it is also called infertility. Female infertility can result from physical problems, hormone problems, and lifestyle or environmental factors. Most cases of infertility in women result from problems with producing eggs. One problem is premature ovarian failure, in which the ovaries stop functioning before natural menopause. In another, polycystic ovary syndrome (PCOS), the ovaries may not release an egg regularly or may not release a healthy egg. About a third of the time, infertility is because of a problem with the woman. One third of the time, it is a problem with the man. Sometimes no cause can be found. If you suspect you are infertile, see your doctor. There are tests that may tell if you have fertility problems. When it is possible to find the cause, treatments may include medicines, surgery, or assisted reproductive technologies. Happily, two-thirds of couples treated for infertility are able to have babies. National Women's Health Information Center , Source: MedlinePlus,Patients with female infertility of unknown cause often receive ",",Radiographic imaging procedure,Hematologic tests Blood test,Ultrasonography Ultrasound,Pelvis exam,Other non OR therapeutic procedures female organs,Examination of breast,Standard pregnancy test,Chlamydia test",",Clomiphene Clomid,Human Chorionic Gonadotropin Hcg,Progesterone,Leuprolide Lupron,Estradiol,Cefoxitin,Urofollitropin Bravelle,Menotropins Hmg,Letrozole Femara,Alpha 1 Antitrypsin,Ganirelix,Alendronate Cholecalciferol",30-44,female,other
252,Pericarditis,Sharp chest pain,88,Shortness of breath,66,Difficulty breathing,45,Chest tightness,45,Sharp abdominal pain,28,Nausea,28,Irregular heartbeat,21,Fainting,21,Palpitations,21,Lower body pain,12,Hurts to breath,12,Lymphedema,"12"""," Also known as Inflammation Of The Membrane Surrounding The Heart , , ,Pericarditis is an inflammation of the pericardium (the fibrous sac surrounding the heart). A characteristic chest pain is often present. , Source: Wikipedia,Patients with pericarditis often receive ",",Radiographic imaging procedure,Electrocardiogram,Hematologic tests Blood test,Complete blood count Cbc,Plain x ray X ray,Cardiac enzymes measurement Cardiac enzymes test,Kidney function tests Kidney function test,Glucose measurement Glucose level",",Nitroglycerin,Indomethacin,Colchicine,Temazepam,Terazosin,Bosentan Tracleer,Entecavir Baraclude,Pindolol,Misoprostol,Dexlansoprazole Dexilant,Calcitonin,Lactobacillus Acidophilus Dofus,Candesartan Atacand",75+,Unspecified,other
253,Attention deficit hyperactivity disorder (ADHD),Depressive or psychotic symptoms,53,Depression,34,Anxiety and nervousness,32,Hostile behavior,17,Excessive anger,17,Restlessness,15,Temper problems,9,Drug abuse,8,Obsessions and compulsions,8,Low self-esteem,4,Lack of growth,4,Antisocial behavior,"2"""," Also known as ADHD and Hyperkinetic Syndrome , , ,Attention deficit hyperactivity disorder (ADHD, similar to hyperkinetic disorder in the ICD) is a psychiatric disorder or neurobehavioral disorder characterized by significant difficulties either of inattention or hyperactivity and impulsiveness or a combination of the two. According to the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV-TR), symptoms emerge before seven years of age. There are three subtypes of the disorder which consist of it being predominantly inattentive (ADHD-PI or ADHD-I), predominantly hyperactive-impulsive (ADHD-HI or ADHD-H), or the two combined (ADHD-C). Often people refer to ADHD-PI as ""attention deficit disorder"" (ADD), however, the latter has not been officially accepted since the 1994 revision of the DSM. ADHD impacts school-aged children and results in restlessness, acting impulsively, and lack of focus which may impair school performance. , Source: Wikipedia,Patients with attention deficit hyperactivity disorder (adhd) often receive ",",Psychotherapy,Mental health counseling,Depression screen Depression screening,Psychological and psychiatric evaluation and therapy,Occupational therapy assessment Speech therapy,Electroencephalogram EEG Eeg,Cerebral arteriogram Angiography cerebral,Arterio or venogram not heart and head",",Methylphenidate,Adderall,Clonidine,Atomoxetine Strattera,Dexmethylphenidate Focalin,Risperidone,Lisdexamfetamine Vyvanse,Aripiprazole Abilify,Guanfacine Intuniv,Oxcarbazepine Trileptal,Melatonin,Dextroamphetamine Adderall,Cyproheptadine",5-14,male,other
254,Neuromyelitis optica,Painful urination,77,Ache all over,77,Arm pain,77,Loss of sensation,77,Weakness,77,Diminished vision,77,Vulvar sore,11,Excessive growth,11,Knee lump or mass,11,Nailbiting,11,Shoulder swelling,11,Neck cramps or spasms,"11"""," Also known as Devic Disease , , ,Neuromyelitis optica (NMO), also known as Devic's disease or Devic's syndrome, is an autoimmune, inflammatory disorder in which a person's own immune system attacks the optic nerves and spinal cord. This produces an inflammation of the optic nerve (optic neuritis) and the spinal cord (myelitis). Although inflammation may also affect the brain, the lesions are different from those observed in the related condition, multiple sclerosis. Spinal cord lesions lead to varying degrees of weakness or paralysis in the legs or arms, loss of sensation (including blindness), and/or bladder and bowel dysfunction. , Source: Wikipedia,Patients with neuromyelitis optica often receive ",",Hematologic tests Blood test,Magnetic resonance imaging Mri,Other diagnostic procedures interview evaluation consultation,Urinalysis,Radiographic imaging procedure,Corneal transplant,Transurethral resection of prostate TURP Turp,Coronary thrombolysis",",Azathioprine,Baclofen,Carbamazepine,Polyethylene Glycol 3350 Miralax,Pregabalin Lyrica,Nitrofurantoin,Paroxetine Paxil,Docusate Colace,Oxycodone,Gabapentin,Ciprofloxacin,Air",15-29,Unspecified,black
255,Pulmonic valve disease,Lack of growth,40,Leg pain,40,Shortness of breath,40,Low back pain,40,Elbow weakness,3,Elbow cramps or spasms,3,Excessive growth,3,Feeling hot and cold,3,Wrist weakness,3,Low back weakness,3,Emotional symptoms,3,Nailbiting,"3"""," , ,Pulmonic valve disease is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with pulmonic valve disease often receive , ",",Electrocardiogram,Radiographic imaging procedure,Echocardiography,Ultrasonography Ultrasound,Heart valve procedures,Physical therapy exercises Exercises,Corneal transplant,Procedures on spleen Spleen operation",",Ofloxacin,Chickenpox Vaccine Shingles Vaccine,Mecamylamine,Grepafloxacin Raxar,Malathion Topical,Gemtuzumab Mylotarg,Gadoteridol Prohance,Devil S Claw Preparation,Isocarboxazid Marplan,Medrysone Ophthalmic,Magnesium Lactate","5-14,1-4,< 1",Unspecified,other
256,Tietze syndrome,Sharp chest pain,94,Rib pain,51,Shortness of breath,49,Cough,41,Back pain,41,Chest tightness,35,Side pain,27,Nausea,27,Hurts to breath,22,Difficulty breathing,22,Pain or soreness of breast,22,Loss of sensation,"21"""," Also known as Costochondritis and Slipping Rib Syndrome , , ,Tietze syndrome is a benign inflammation of one or more of the costal cartilages. It was first described in 1921 by the German surgeon Alexander Tietze (18641927). , Source: Wikipedia,Patients with tietze syndrome often receive ",",Radiographic imaging procedure,Plain x ray X ray,Electrocardiogram,Complete blood count Cbc,Kidney function tests Kidney function test,Electrolytes panel,Glucose measurement Glucose level,Cardiac enzymes measurement Cardiac enzymes test",",Methyl Salicylate Menthol Topical,Bivalirudin,Fluoride Topical,Triprolidine Actifed,Arnica Topical,Trolamine Salicylate Topical,Tazarotene Topical",15-29,Unspecified,other
257,Cranial nerve palsy,Double vision,53,Headache,40,Diminished vision,35,Abnormal involuntary movements,29,Symptoms of the face,26,Loss of sensation,22,Abnormal movement of eyelid,22,Pupils unequal,19,Pain in eye,19,Facial pain,19,Difficulty speaking,10,Cramps and spasms,"10"""," Also known as Cranial Neuropathy and Cranial Nerve Disease , , ,Disorders of one or more of the twelve cranial nerves. With the exception of the optic and olfactory nerves, this includes disorders of the brain stem nuclei from which the cranial nerves originate or terminate. , Source: MeSH,Patients with cranial nerve palsy often receive ",",Magnetic resonance imaging Mri,Other diagnostic procedures interview evaluation consultation,Ophthalmic examination and evaluation Eye exam,Ophthalmologic and otologic diagnosis and treatment,Other therapeutic procedures,CAT scan of head Head ct,Other therapeutic procedures on eyelids conjunctiva cornea,Occupational therapy assessment Speech therapy",",Botulinum Toxin Type A Botox,Botulism Antitoxin,Cyclopentolate Ophthalmic,Olopatadine Ophthalmic,Pergolide,Mumps Vaccine,Rimabotulinumtoxinb Myobloc,Erythromycin Topical Product,Measles Vaccine,Rubella Virus Vaccine,Tegaserod Zelnorm","5-14,< 1",Unspecified,other
258,Injury to the arm,Wrist pain,80,Elbow pain,69,Arm pain,54,Hand or finger pain,38,Loss of sensation,21,Wrist swelling,19,Hand or finger swelling,14,Joint pain,11,Elbow swelling,10,Arm swelling,7,Arm stiffness or tightness,6,Bones are painful,"4"""," Also known as Arm Injury, Upper Extremity Injury, and Upper Limb Injury , , ,Of the 206 bones in your body, 3 of them are in your arm; the humerus, radius and ulna. Your arms are also made up of muscles, joints, tendons and other connective tissue. Injuries to any of these parts of the arm can occur during sports, a fall or an accident. Types of arm injuries include ,Tendinitis and bursitis, ",",Radiographic imaging procedure,Plain x ray X ray,Application of splint Splinting,Magnetic resonance imaging Mri,Physical therapy exercises Exercises,Orthopedic casting,Traction splints and other wound care,Occupational therapy assessment Speech therapy",",Piroxicam,Trimethadione,Benzalkonium Chloride Topical,Cladribine,Bromfenac Bromday,Turmeric Extract,Estazolam,Mefloquine,Tolnaftate Topical,Teriparatide Forteo,Balsalazide",5-14,Unspecified,other
259,Conversion disorder,Seizures,69,Depression,58,Sweating,40,Allergic reaction,40,Weakness,40,Sore throat,40,Anxiety and nervousness,40,Abnormal involuntary movements,40,Fatigue,25,Cough,25,Focal weakness,25,Fainting,"25"""," Also known as Conversion Reaction , , ,A conversion disorder causes patients to suffer from neurological symptoms, such as numbness, blindness, paralysis, or fits without a definable organic cause. It is thought that symptoms arise in response to stressful situations affecting a patient's mental health and Conversion disorder is considered a psychiatric disorder in the Diagnostic and Statistical Manual of Mental Disorders fifth edition (DSM-V). , Source: Wikipedia,Patients with conversion disorder often receive ",",Complete blood count Cbc,Psychotherapy,Intravenous fluid replacement,X ray computed tomography Scan ct,Mental health counseling,Depression screen Depression screening,Magnetic resonance imaging Mri,CAT scan of head Head ct",",Venlafaxine Effexor,Mirtazapine,Levetiracetam Keppra,Omega 3 Fatty Acids,Estropipate Ogen,Sulindac,Zaleplon Sonata,Fluvoxamine Luvox,Sulfasalazine,Naloxone Suboxone,Zonisamide","30-44,5-14,45-59",Unspecified,other
260,Complex regional pain syndrome,Loss of sensation,63,Leg pain,52,Foot or toe pain,42,Paresthesia,40,Back pain,37,Ache all over,33,Arm pain,30,Hand or finger pain,28,Low back pain,27,Neck pain,26,Abnormal involuntary movements,19,Problems with movement,"18"""," , ,Complex Regional Pain Syndrome (CRPS), formerly Reflex Sympathetic Dystrophy (RSD) or Causalgia, is a chronic systemic disease characterized by severe pain, swelling, and changes in the skin. CRPS is expected to worsen over time. It often initially affects an arm or a leg and often spreads throughout the body; 92% of patients state that they have experienced a spread and 35% of patients report symptoms in their whole body. Recent evidence has led to the conclusion that Complex Regional Pain Syndrome is a multifactorial disorder with clinical features of neurogenic inflammation, nociceptive sensitisation (which causes extreme sensitivity or allodynia), vasomotor dysfunction, and maladaptive neuroplasticity, generated by an aberrant response to tissue injury. Treatment is complicated, involving drugs, physical therapy, psychologic treatments and neuromodulation and usually unsatisfactory, especially if begun late. , Source: Wikipedia,Patients with complex regional pain syndrome often receive ",",Magnetic resonance imaging Mri,Physical therapy exercises Exercises,Other diagnostic procedures interview evaluation consultation,Lipid panel,Hemoglobin A1c measurement Hemoglobin a1c test,Examination of foot,Other therapeutic procedures,Debridement of wound infection or burn",",Gabapentin,Pregabalin Lyrica,Amitriptyline,Methadone,Baclofen,Lidocaine Prilocaine Topical,Buprenorphine Suboxone,Milnacipran Savella,Midodrine,Flunisolide Nasal,Tenofovir,Combivir,Sorbitol","75+,60-74,45-59",Unspecified,other
261,Otosclerosis,Diminished hearing,94,Dizziness,53,Plugged feeling in ear,53,Ear pain,53,Elbow weakness,2,Nailbiting,2,Low back weakness,2,Emotional symptoms,2,Elbow cramps or spasms,2,Underweight,2,Wrist weakness,2,Muscle swelling,"2"""," , ,Otosclerosis is an abnormal growth of bone near the middle ear. It can result in hearing loss. , Source: Wikipedia,Patients with otosclerosis often receive ",",Ophthalmologic and otologic diagnosis and treatment,Ophthalmic examination and evaluation Eye exam,Excision Removal,Corneal transplant,Procedures on spleen Spleen operation,Removal of ectopic pregnancy,Tracheostomy temporary and permanent,Diagnostic endocrine procedures",",Droperidol,Clozapine,Calcium Citrate,Ibandronate Boniva,Niacin,Ezetimibe Zetia,Phenytoin Dilantin,Calcium Carbonate,Meclizine,Celecoxib Celebrex,Mecamylamine","75+,60-74,45-59",Unspecified,other
262,Injury to the trunk,Back pain,72,Rib pain,59,Sharp chest pain,53,Low back pain,50,Neck pain,49,Shoulder pain,30,Headache,28,Lower body pain,20,Bones are painful,18,Wrist pain,14,Symptoms of the scrotum and testes,4,Sinus congestion,"4"""," , ,Injury to the trunk is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.,Patients with injury to the trunk often receive , ",",Radiographic imaging procedure,Plain x ray X ray,X ray computed tomography Scan ct,Urinalysis,Intravenous fluid replacement,Wound care management,CAT scan of head Head ct,Standard pregnancy test",",Metaxalone Skelaxin,Podofilox Topical,Flurazepam,Orlistat Alli,Collagen,Ioversol,Iopamidol Isovue,Diphtheria Toxoid Vaccine Prohibit,Econazole Topical,who go to their doctor with injury to the trunk,ck pain,b pain,g sharp chest pain",Unspecified,Unspecified,other
